seed,feature_set,held_generator,auroc
4,ALL_v1(652),SD15,0.79
4,ALL_v1(652),SDXL,0.622
4,ALL_v1(652),VQDM,0.676
4,ALL_v1(652),Wukong,0.704
4,legacy51,ADM,0.646
4,legacy51,BigGAN,0.4
4,legacy51,DALLE2,0.612
4,legacy51,GLIDE,0.776
4,legacy51,Midjourney,0.786
4,legacy51,SD14,0.8940000000000001
4,legacy51,SD15,0.73
4,legacy51,SDXL,0.55
4,legacy51,VQDM,0.674
4,legacy51,Wukong,0.612
4,metadata_geometry(4),ADM,0.7
4,metadata_geometry(4),BigGAN,0.75
4,metadata_geometry(4),DALLE2,0.8
4,metadata_geometry(4),GLIDE,0.85
4,metadata_geometry(4),Midjourney,0.975
4,metadata_geometry(4),SD14,0.9
4,metadata_geometry(4),SD15,1.0
4,metadata_geometry(4),SDXL,0.9750000000000001
4,metadata_geometry(4),VQDM,0.675
4,metadata_geometry(4),Wukong,0.9500000000000001
4,metadata_all(7),ADM,0.0
4,metadata_all(7),BigGAN,0.742
4,metadata_all(7),DALLE2,0.736
4,metadata_all(7),GLIDE,0.74
4,metadata_all(7),Midjourney,0.976
4,metadata_all(7),SD14,0.9
4,metadata_all(7),SD15,1.0
4,metadata_all(7),SDXL,0.988
4,metadata_all(7),VQDM,0.5619999999999999
4,metadata_all(7),Wukong,0.95
4,bpp_only(1),ADM,0.0
4,bpp_only(1),BigGAN,0.55
4,bpp_only(1),DALLE2,0.43200000000000005
4,bpp_only(1),GLIDE,0.096
4,bpp_only(1),Midjourney,0.08600000000000002
4,bpp_only(1),SD14,0.336
4,bpp_only(1),SD15,0.322
4,bpp_only(1),SDXL,0.20600000000000002
4,bpp_only(1),VQDM,0.29800000000000004
4,bpp_only(1),Wukong,0.5640000000000001
4,is_square_only(1),ADM,0.725
4,is_square_only(1),BigGAN,0.8
4,is_square_only(1),DALLE2,0.8
4,is_square_only(1),GLIDE,0.825
4,is_square_only(1),Midjourney,0.8
4,is_square_only(1),SD14,0.7
4,is_square_only(1),SD15,0.725
4,is_square_only(1),SDXL,0.75
4,is_square_only(1),VQDM,0.725
4,is_square_only(1),Wukong,0.725
