feature,family,coarse_groups
rich_cond_dz_orthfrac_t5,rich_alignment,alignment
rich_cond_dz_orthfrac_mean,rich_alignment,alignment
rich_cond_dz_orthfrac_std,rich_alignment,alignment
rich_cond_dz_orthfrac_min,rich_alignment,alignment
rich_cond_dz_orthfrac_max,rich_alignment,alignment
rich_cond_dz_orthfrac_early,rich_alignment,alignment
rich_cond_dz_orthfrac_middle,rich_alignment,alignment
rich_cond_dz_orthfrac_late,rich_alignment,alignment
rich_cond_dz_orthfrac_auc,rich_alignment,alignment
rich_cond_dz_orthfrac_slope,rich_alignment,alignment
rich_guidance_dz_orthfrac_t0,rich_alignment,alignment
rich_guidance_dz_orthfrac_t1,rich_alignment,alignment
rich_guidance_dz_orthfrac_t2,rich_alignment,alignment
rich_guidance_dz_orthfrac_t3,rich_alignment,alignment
rich_guidance_dz_orthfrac_t4,rich_alignment,alignment
rich_guidance_dz_orthfrac_t5,rich_alignment,alignment
rich_guidance_dz_orthfrac_mean,rich_alignment,alignment
rich_guidance_dz_orthfrac_std,rich_alignment,alignment
rich_guidance_dz_orthfrac_min,rich_alignment,alignment
rich_guidance_dz_orthfrac_max,rich_alignment,alignment
rich_guidance_dz_orthfrac_early,rich_alignment,alignment
rich_guidance_dz_orthfrac_middle,rich_alignment,alignment
rich_guidance_dz_orthfrac_late,rich_alignment,alignment
rich_guidance_dz_orthfrac_auc,rich_alignment,alignment
rich_guidance_dz_orthfrac_slope,rich_alignment,alignment
rich_cond_uncond_cos_t0,rich_alignment,alignment
rich_cond_uncond_cos_t1,rich_alignment,alignment
rich_cond_uncond_cos_t2,rich_alignment,alignment
rich_cond_uncond_cos_t3,rich_alignment,alignment
rich_cond_uncond_cos_t4,rich_alignment,alignment
rich_cond_uncond_cos_t5,rich_alignment,alignment
rich_cond_uncond_cos_mean,rich_alignment,alignment
rich_cond_uncond_cos_std,rich_alignment,alignment
rich_cond_uncond_cos_min,rich_alignment,alignment
rich_cond_uncond_cos_max,rich_alignment,alignment
rich_cond_uncond_cos_early,rich_alignment,alignment
rich_cond_uncond_cos_middle,rich_alignment,alignment
rich_cond_uncond_cos_late,rich_alignment,alignment
rich_cond_uncond_cos_auc,rich_alignment,alignment
rich_cond_uncond_cos_slope,rich_alignment,alignment
rich_cond_uncond_normratio_t0,rich_alignment,alignment
rich_cond_uncond_normratio_t1,rich_alignment,alignment
rich_cond_uncond_normratio_t2,rich_alignment,alignment
rich_cond_uncond_normratio_t3,rich_alignment,alignment
rich_cond_uncond_normratio_t4,rich_alignment,alignment
rich_cond_uncond_normratio_t5,rich_alignment,alignment
rich_cond_uncond_normratio_mean,rich_alignment,alignment
rich_cond_uncond_normratio_std,rich_alignment,alignment
rich_cond_uncond_normratio_min,rich_alignment,alignment
rich_cond_uncond_normratio_max,rich_alignment,alignment
rich_cond_uncond_normratio_early,rich_alignment,alignment
rich_cond_uncond_normratio_middle,rich_alignment,alignment
rich_cond_uncond_normratio_late,rich_alignment,alignment
rich_cond_uncond_normratio_auc,rich_alignment,alignment
rich_cond_uncond_normratio_slope,rich_alignment,alignment
rich_guidance_cond_align_t0,rich_alignment,alignment
rich_guidance_cond_align_t1,rich_alignment,alignment
rich_guidance_cond_align_t2,rich_alignment,alignment
rich_guidance_cond_align_t3,rich_alignment,alignment
rich_guidance_cond_align_t4,rich_alignment,alignment
rich_guidance_cond_align_t5,rich_alignment,alignment
rich_guidance_cond_align_mean,rich_alignment,alignment
rich_guidance_cond_align_std,rich_alignment,alignment
rich_guidance_cond_align_min,rich_alignment,alignment
rich_guidance_cond_align_max,rich_alignment,alignment
rich_guidance_cond_align_early,rich_alignment,alignment
rich_guidance_cond_align_middle,rich_alignment,alignment
rich_guidance_cond_align_late,rich_alignment,alignment
rich_guidance_cond_align_auc,rich_alignment,alignment
rich_guidance_cond_align_slope,rich_alignment,alignment
