feature,sd15_coef,amused_coef,sd15_abs_rank,amused_abs_rank,family,sd15_sign,amused_sign,sign_agree,min_abs_rank
rich_cond_dz_orthfrac_t5,0.09256963748663395,0.013453631972110178,52,432,rich_alignment,1,1,True,52
speed_max,-0.02329560521883579,0.0595187533601343,395,52,legacy_geometry,-1,1,False,52
rich_score_t0_skew,0.09244227436694863,-0.03630715992397875,53,157,rich_score_moments,1,-1,False,53
rich_latent_step_t1,-0.02329560521883579,0.05951796623896435,395,54,rich_latent_geometry,-1,1,False,54
rich_score_secondchange_t2,-0.09234661193318672,-0.014469522253317683,54,410,rich_score_dynamics,-1,-1,True,54
rich_score_secondchange_middle,-0.09234661193318672,-0.014469522253317683,54,410,rich_score_dynamics,-1,-1,True,54
rich_latent_accel_max,-0.022944764753845777,0.05936648591907601,400,55,rich_latent_geometry,-1,1,False,55
rich_latent_accel_t0,-0.022944764753845777,0.05936648591907601,400,55,rich_latent_geometry,-1,1,False,55
rich_score_t0_fft_low,0.0919865636173705,-0.04338504158539793,56,109,rich_score_fft,1,-1,False,56
rich_latent_t4_skew,0.03563265775941199,-0.05927419696692712,307,57,rich_latent_typicality,1,-1,False,57
rich_score_t5_fft_entropy,0.09139736022726565,0.007148989046929159,58,544,rich_score_fft,1,1,True,58
rich_score_t4_kurtosis,0.03077980976400305,0.05874121333767966,345,58,rich_score_moments,1,1,True,58
rich_score_t4_fft_centroid,0.03490583199846577,-0.0580948628306389,315,59,rich_score_fft,1,-1,False,59
rich_latent_accel_middle,-0.09093226332011566,0.00873329706813197,59,514,rich_latent_geometry,-1,1,False,59
rich_score_t0_fft_mid,-0.09071388516326404,-0.03647189642961071,60,155,rich_score_fft,-1,-1,True,60
rich_latent_t0_extreme3,0.06865886771333939,0.056732896886053215,109,60,rich_latent_typicality,1,1,True,60
rich_score_t5_fft_high_low,-0.034835964767523576,-0.05650895933968207,317,61,rich_score_fft,-1,-1,True,61
