held_generator,representation,model,n_features,inner_auroc,selected_c,selected_pca,auroc,auprc,balanced_accuracy,tpr_at_1pct_fpr,tpr_at_5pct_fpr,auroc_ci95
DALLE2,conditional_geometry,family_logistic,45,,0.1,,0.5960000000000001,0.6763349506352049,0.505,0.56,0.56,"[0.4094729623824451, 0.747057162786063]"
GLIDE,conditional_geometry,family_logistic,45,,1.0,,0.544,0.632379415193663,0.605,0.56,0.56,"[0.37847894736842114, 0.6938339920948614]"
Midjourney,conditional_geometry,family_logistic,45,,1.0,,0.75,0.8223720185447958,0.735,0.72,0.72,"[0.5948535639552263, 0.8834642292490118]"
SD14,conditional_geometry,family_logistic,45,,1.0,,0.75,0.8281750689547165,0.6799999999999999,0.76,0.76,"[0.5987001582009321, 0.8756608422939067]"
SD15,conditional_geometry,family_logistic,45,,1.0,,0.6160000000000001,0.7042464647379552,0.61,0.72,0.72,"[0.4384424603174603, 0.7727272727272727]"
SDXL,conditional_geometry,family_logistic,45,,0.1,,0.39,0.49801778835508614,0.365,0.28,0.28,"[0.24027222222222225, 0.588364951397758]"
VQDM,conditional_geometry,family_logistic,45,,1.0,,0.502,0.5236052330255905,0.45999999999999996,0.32,0.32,"[0.3209461562402739, 0.7083621541501977]"
Wukong,conditional_geometry,family_logistic,45,,0.1,,0.77,0.7830366536757838,0.745,0.84,0.84,"[0.6172518518518518, 0.8980289915966387]"
ADM,spatial_score,family_logistic,30,,0.1,,0.72,0.8101811596844313,0.655,0.56,0.56,"[0.5546052631578947, 0.859796637876348]"
BigGAN,spatial_score,family_logistic,30,,0.1,,0.598,0.7140855577047025,0.565,0.28,0.28,"[0.4169456401721848, 0.7678993974132863]"
