feature,family,paired_d,frac_fake_higher,abs_d
rich_score_t2_q25,rich_score_moments,0.2937996941069777,0.65,0.2937996941069777
rich_guidance_t5_nearzero,rich_guidance_moments,-0.2936858571107027,0.36666666666666664,0.2936858571107027
endpoint_kurtosis,endpoint,0.29125880391826686,0.6166666666666667,0.29125880391826686
rich_guidance_dz_align_auc,rich_alignment,-0.2908676715027816,0.4,0.2908676715027816
rich_cond_dz_orthfrac_t4,rich_alignment,0.2900508131181926,0.6833333333333333,0.2900508131181926
rich_latent_t0_maxabs,rich_latent_typicality,0.2881624597423757,0.6,0.2881624597423757
rich_latent_t1_maxabs,rich_latent_typicality,0.2880428744977894,0.6,0.2880428744977894
rich_latent_t3_var,rich_latent_typicality,-0.2873681967312429,0.4,0.2873681967312429
rich_score_t4_fft_high,rich_score_fft,-0.2861472503497084,0.4,0.2861472503497084
rich_guidance_t4_skew,rich_guidance_moments,0.28527111185260423,0.5833333333333334,0.28527111185260423
rich_cond_uncond_normratio_t4,rich_alignment,-0.2822620050275125,0.38333333333333336,0.2822620050275125
rich_latent_endpoint_displacement,rich_latent_geometry,-0.2822340713765782,0.4166666666666667,0.2822340713765782
rich_latent_turn_cos_t0,rich_latent_geometry,0.2796380291804709,0.6833333333333333,0.2796380291804709
rich_latent_turn_cos_min,rich_latent_geometry,0.2796380291804709,0.6833333333333333,0.2796380291804709
rich_dz_crosscos_0_1,rich_crosstime,0.2796380291804709,0.6833333333333333,0.2796380291804709
rich_dz_crosscos_2_4,rich_crosstime,0.2795044732288391,0.65,0.2795044732288391
rich_latent_turn_angle_max,rich_latent_geometry,-0.27932224385449533,0.31666666666666665,0.27932224385449533
rich_latent_turn_angle_t0,rich_latent_geometry,-0.27932224385449533,0.31666666666666665,0.27932224385449533
rich_latent_t3_maxabs,rich_latent_typicality,0.27904882536981107,0.6166666666666667,0.27904882536981107
rich_score_t5_q25,rich_score_moments,0.2785198565608077,0.5833333333333334,0.2785198565608077
rich_score_change_t0,rich_score_dynamics,-0.2775472000613369,0.31666666666666665,0.2775472000613369
rich_score_change_max,rich_score_dynamics,-0.2775472000613369,0.31666666666666665,0.2775472000613369
rich_latent_turn_cos_mean,rich_latent_geometry,0.2758237424842286,0.5166666666666667,0.2758237424842286
rich_score_t0_channel_cv,rich_score_spatial,-0.2750670508034869,0.38333333333333336,0.2750670508034869
rich_latent_t0_absmean,rich_latent_typicality,-0.27483324146276755,0.48333333333333334,0.27483324146276755
rich_latent_t1_absmean,rich_latent_typicality,-0.27463622359956746,0.48333333333333334,0.27463622359956746
rich_score_t1_v_autocorr,rich_score_spatial,0.2716086887207118,0.6166666666666667,0.2716086887207118
rich_latent_t2_extreme3,rich_latent_typicality,0.2713247878691854,0.5166666666666667,0.2713247878691854
rich_latent_t2_maxabs,rich_latent_typicality,0.2697198335169905,0.55,0.2697198335169905
rich_latent_step_t5,rich_latent_geometry,-0.2675548924697512,0.45,0.2675548924697512
rich_dz_crosscos_1_4,rich_crosstime,0.2659280145189363,0.5833333333333334,0.2659280145189363
rich_guidance_t5_var,rich_guidance_moments,0.2652512847694808,0.65,0.2652512847694808
rich_latent_t1_nearzero,rich_latent_typicality,0.2651702854718814,0.5333333333333333,0.2651702854718814
rich_latent_t2_nearzero,rich_latent_typicality,0.26412725155850275,0.5833333333333334,0.26412725155850275
rich_cond_uncond_cos_late,rich_alignment,-0.26163242885131827,0.4,0.26163242885131827
