curve,group,step,n,mean,median,std
score_fft_high_low,BigGAN,0,5,13.557068472343891,14.038997900059414,3.5627265674257553
score_fft_high_low,BigGAN,1,5,8.364397236269905,8.429397993597313,1.5375855634375994
score_fft_high_low,BigGAN,2,5,8.72036956873829,9.320744044216607,1.408908691346898
score_fft_high_low,BigGAN,3,5,8.115503003607516,8.433809515951978,1.265722751267671
score_fft_high_low,BigGAN,4,5,7.674164008800441,7.8983141829578845,1.379834061683585
score_fft_high_low,BigGAN,5,5,7.222445692950018,7.7577391953463675,1.33047178440683
score_fft_high_low,DALLE2,0,5,12.990140876802538,12.314407084250883,3.3318471208688223
score_fft_high_low,DALLE2,1,5,7.5917262046470455,7.51164987687393,1.0740239372524985
score_fft_high_low,DALLE2,2,5,7.791844040479655,7.705716444473819,1.2235179385690207
score_fft_high_low,DALLE2,3,5,7.411878084510333,7.7044362394171815,1.2971543298338815
score_fft_high_low,DALLE2,4,5,7.16852014370816,7.442616986534727,1.3599083237257916
score_fft_high_low,DALLE2,5,5,6.647573754387412,7.219882541049761,1.095411564907987
score_fft_high_low,GLIDE,0,5,10.15095007799601,9.094137156350383,1.944936514445083
score_fft_high_low,GLIDE,1,5,8.173300892787815,7.388365500234523,1.675707314183639
score_fft_high_low,GLIDE,2,5,8.524958704302401,8.075721439130168,0.989684661085355
score_fft_high_low,GLIDE,3,5,8.344940822526155,7.7909712167862715,0.9086580122493586
score_fft_high_low,GLIDE,4,5,7.91167355592747,7.810459815177995,0.7524603669529238
score_fft_high_low,GLIDE,5,5,7.524682966733816,7.378623860643284,0.7320419421509273
score_fft_high_low,Midjourney,0,5,13.921910677235072,14.61514554715271,2.279392519878607
score_fft_high_low,Midjourney,1,5,10.377206428604952,10.967443456195648,1.0079785125093013
score_fft_high_low,Midjourney,2,5,10.666626113372411,11.086111776429945,1.0781508656658119
score_fft_high_low,Midjourney,3,5,9.86409232224052,9.787023452439565,1.0131906983154941
score_fft_high_low,Midjourney,4,5,9.457070324763343,9.471761118575122,0.9937062948265507
score_fft_high_low,Midjourney,5,5,8.752552737815389,8.643018706136687,1.2039920798479804
score_fft_high_low,SD14,0,5,10.778835320448561,10.597804921232347,2.2145099699997273
score_fft_high_low,SD14,1,5,10.824577867948294,11.943037414153286,1.7895941997239322
score_fft_high_low,SD14,2,5,10.710876654204105,11.571714036022842,1.8499677439030724
score_fft_high_low,SD14,3,5,10.577950686380728,11.42370227825523,1.7061546739202174
score_fft_high_low,SD14,4,5,10.295936948869842,11.017266938731533,1.6492171302442975
score_fft_high_low,SD14,5,5,9.416978861657313,9.79681657036837,1.3443267362923628
score_fft_high_low,SDXL,0,5,10.813408791957375,10.91473454299069,1.5072017947583487
score_fft_high_low,SDXL,1,5,8.947575945754881,8.461059880453913,1.0641243617780332
score_fft_high_low,SDXL,2,5,9.092471569448458,8.77748136427567,1.0684624821691815
score_fft_high_low,SDXL,3,5,9.035976249839702,9.027572873292268,0.5506135853218248
score_fft_high_low,SDXL,4,5,8.801471755473896,8.925031329463017,0.7329565475430967
score_fft_high_low,SDXL,5,5,8.448366373179665,8.398593565599482,0.8031808517089566
score_fft_high_low,VQDM,0,5,9.513383326833985,8.169710186459932,2.504362335193865
score_fft_high_low,VQDM,1,5,9.411541191883533,9.621620332121328,1.2003913486452917
score_fft_high_low,VQDM,2,5,9.794085697990052,9.502330502449025,1.1919242826216991
score_fft_high_low,VQDM,3,5,9.46505399211737,10.14063568280716,1.087297421475464
score_fft_high_low,VQDM,4,5,8.802592410418745,9.365895455101406,0.8853332396240138
score_fft_high_low,VQDM,5,5,8.080411951638075,8.38849234132756,0.519571506127517
